Implementation_DataType,mean,min,max,std,Pattern_Type
chunk__BOOLEAN,0.0033333333333333335,0.003,0.004,0.0005773502691896258,Frequency
chunk__DATE,0.0030000000000000005,0.003,0.003,0.0,Frequency
chunk__DECIMAL,0.0030000000000000005,0.003,0.003,0.0,Frequency
chunk__LARGE_INTEGER,0.0033333333333333335,0.003,0.004,0.0005773502691896258,Frequency
chunk__LARGE_STRING,0.0036666666666666666,0.003,0.004,0.0005773502691896258,Frequency
chunk__MEDIUM_STRING,0.0030000000000000005,0.003,0.003,0.0,Frequency
chunk__SMALL_INTEGER,0.0036666666666666666,0.003,0.004,0.0005773502691896258,Frequency
chunk__SMALL_STRING,0.0033333333333333335,0.003,0.004,0.0005773502691896258,Frequency
forest__BOOLEAN,0.0023333333333333335,0.002,0.003,0.0005773502691896257,Frequency
forest__DATE,0.002,0.002,0.002,0.0,Frequency
forest__DECIMAL,0.0023333333333333335,0.002,0.003,0.0005773502691896258,Frequency
forest__LARGE_INTEGER,0.002,0.002,0.002,0.0,Frequency
forest__LARGE_STRING,0.002,0.002,0.002,0.0,Frequency
forest__MEDIUM_STRING,0.002,0.002,0.002,0.0,Frequency
forest__SMALL_INTEGER,0.0023333333333333335,0.002,0.003,0.0005773502691896258,Frequency
forest__SMALL_STRING,0.004333333333333334,0.002,0.007,0.002516611478423583,Frequency
lfu__BOOLEAN,0.008,0.007,0.009,0.0009999999999999996,Frequency
lfu__DATE,0.008666666666666666,0.008,0.009,0.0005773502691896255,Frequency
lfu__DECIMAL,0.007666666666666666,0.007,0.008,0.0005773502691896262,Frequency
lfu__LARGE_INTEGER,0.007666666666666666,0.007,0.008,0.0005773502691896262,Frequency
lfu__LARGE_STRING,0.007666666666666666,0.006,0.009,0.0015275252316519464,Frequency
lfu__MEDIUM_STRING,0.008333333333333333,0.008,0.009,0.0005773502691896257,Frequency
lfu__SMALL_INTEGER,0.006333333333333333,0.005,0.007,0.0011547005383792516,Frequency
lfu__SMALL_STRING,0.011666666666666667,0.006,0.021,0.008144527815247079,Frequency
chunk__BOOLEAN,0.005666666666666667,0.005,0.006,0.0005773502691896258,Sequential
chunk__DATE,0.005,0.005,0.005,0.0,Sequential
chunk__DECIMAL,0.005666666666666667,0.005,0.006,0.0005773502691896259,Sequential
chunk__LARGE_INTEGER,0.005,0.005,0.005,0.0,Sequential
chunk__LARGE_STRING,0.006000000000000001,0.006,0.006,0.0,Sequential
chunk__MEDIUM_STRING,0.005333333333333333,0.005,0.006,0.0005773502691896259,Sequential
chunk__SMALL_INTEGER,0.005,0.005,0.005,0.0,Sequential
chunk__SMALL_STRING,0.005,0.005,0.005,0.0,Sequential
forest__BOOLEAN,0.0023333333333333335,0.002,0.003,0.0005773502691896257,Sequential
forest__DATE,0.0023333333333333335,0.002,0.003,0.0005773502691896258,Sequential
forest__DECIMAL,0.0023333333333333335,0.002,0.003,0.0005773502691896258,Sequential
forest__LARGE_INTEGER,0.002,0.002,0.002,0.0,Sequential
forest__LARGE_STRING,0.002,0.002,0.002,0.0,Sequential
forest__MEDIUM_STRING,0.002,0.002,0.002,0.0,Sequential
forest__SMALL_INTEGER,0.002,0.002,0.002,0.0,Sequential
forest__SMALL_STRING,0.0033333333333333335,0.002,0.006,0.002309401076758503,Sequential
lfu__BOOLEAN,0.044000000000000004,0.04,0.049,0.004582575694955844,Sequential
lfu__DATE,0.04466666666666667,0.043,0.048,0.002886751345948132,Sequential
lfu__DECIMAL,0.041666666666666664,0.037,0.045,0.004163331998932268,Sequential
lfu__LARGE_INTEGER,0.04,0.039,0.041,0.0010000000000000009,Sequential
lfu__LARGE_STRING,0.036333333333333336,0.023,0.046,0.01193035344544885,Sequential
lfu__MEDIUM_STRING,0.046000000000000006,0.045,0.047,0.0010000000000000009,Sequential
lfu__SMALL_INTEGER,0.031,0.021,0.038,0.008888194417315587,Sequential
lfu__SMALL_STRING,0.030333333333333334,0.022,0.047,0.014433756729740645,Sequential
chunk__BOOLEAN,0.16833333333333333,0.147,0.209,0.03523256069793017,Range
chunk__DATE,0.14633333333333334,0.139,0.15,0.0063508529610858625,Range
chunk__DECIMAL,0.2906666666666667,0.28,0.296,0.009237604307033997,Range
chunk__LARGE_INTEGER,0.163,0.16,0.166,0.0030000000000000027,Range
chunk__LARGE_STRING,0.24266666666666667,0.24,0.245,0.002516611478423582,Range
