Condition,Implementation_DataType,Average_Time_ms,Sample_Count
COMPLEX_SELECT,chunk__SMALL_STRING,1.016,100
DELETE,chunk__SMALL_STRING,0.706,996
COMPLEX_UPDATE,chunk__SMALL_STRING,0.997,100
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__SMALL_STRING,0.301,100
RANGE_TEST,chunk__SMALL_STRING,0.175,100
UPDATE,chunk__SMALL_STRING,0.701,3046
INSERT,chunk__SMALL_STRING,0.012,2978
COMPLEX_DELETE,chunk__SMALL_STRING,0.935,100
FREQUENCY_TEST,chunk__SMALL_STRING,0.003,10000
SELECT,chunk__SMALL_STRING,0.706,3980
COMPLEX_SELECT,chunk__SMALL_STRING,0.950,100
DELETE,chunk__SMALL_STRING,0.774,958
COMPLEX_UPDATE,chunk__SMALL_STRING,0.963,100
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__SMALL_STRING,0.319,100
RANGE_TEST,chunk__SMALL_STRING,0.136,100
UPDATE,chunk__SMALL_STRING,0.725,2966
INSERT,chunk__SMALL_STRING,0.004,3085
COMPLEX_DELETE,chunk__SMALL_STRING,0.976,100
FREQUENCY_TEST,chunk__SMALL_STRING,0.002,10000
SELECT,chunk__SMALL_STRING,0.705,3991
COMPLEX_SELECT,chunk__SMALL_STRING,1.167,100
DELETE,chunk__SMALL_STRING,0.655,968
COMPLEX_UPDATE,chunk__SMALL_STRING,0.911,100
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__SMALL_STRING,0.288,100
RANGE_TEST,chunk__SMALL_STRING,0.131,100
UPDATE,chunk__SMALL_STRING,0.638,2943
INSERT,chunk__SMALL_STRING,0.003,2980
COMPLEX_DELETE,chunk__SMALL_STRING,1.154,100
FREQUENCY_TEST,chunk__SMALL_STRING,0.001,10000
SELECT,chunk__SMALL_STRING,0.664,4109
COMPLEX_SELECT,chunk__MEDIUM_STRING,1.253,100
DELETE,chunk__MEDIUM_STRING,0.774,939
COMPLEX_UPDATE,chunk__MEDIUM_STRING,1.237,100
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.330,100
RANGE_TEST,chunk__MEDIUM_STRING,0.151,100
UPDATE,chunk__MEDIUM_STRING,0.747,3026
INSERT,chunk__MEDIUM_STRING,0.004,3058
COMPLEX_DELETE,chunk__MEDIUM_STRING,1.041,100
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.002,10000
SELECT,chunk__MEDIUM_STRING,0.698,3977
COMPLEX_SELECT,chunk__MEDIUM_STRING,0.884,100
DELETE,chunk__MEDIUM_STRING,0.745,1041
COMPLEX_UPDATE,chunk__MEDIUM_STRING,1.182,100
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.340,100
RANGE_TEST,chunk__MEDIUM_STRING,0.152,100
UPDATE,chunk__MEDIUM_STRING,0.668,2889
INSERT,chunk__MEDIUM_STRING,0.004,2987
COMPLEX_DELETE,chunk__MEDIUM_STRING,0.860,100
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.003,10000
SELECT,chunk__MEDIUM_STRING,0.669,4083
COMPLEX_SELECT,chunk__MEDIUM_STRING,1.132,100
DELETE,chunk__MEDIUM_STRING,0.708,1034
COMPLEX_UPDATE,chunk__MEDIUM_STRING,1.001,100
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.337,100
RANGE_TEST,chunk__MEDIUM_STRING,0.161,100
UPDATE,chunk__MEDIUM_STRING,0.786,3002
INSERT,chunk__MEDIUM_STRING,0.005,2969
COMPLEX_DELETE,chunk__MEDIUM_STRING,1.204,100
FREQUENCY_TEST,chunk__MEDIUM_STRING,0.002,10000
SELECT,chunk__MEDIUM_STRING,0.765,3995
COMPLEX_SELECT,chunk__LARGE_STRING,1.154,100
DELETE,chunk__LARGE_STRING,0.703,1021
COMPLEX_UPDATE,chunk__LARGE_STRING,0.939,100
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.002,1000
UNKNOWN_CONDITION,chunk__LARGE_STRING,0.425,100
RANGE_TEST,chunk__LARGE_STRING,0.314,100
UPDATE,chunk__LARGE_STRING,0.797,3074
INSERT,chunk__LARGE_STRING,0.009,3054
COMPLEX_DELETE,chunk__LARGE_STRING,0.798,100
FREQUENCY_TEST,chunk__LARGE_STRING,0.001,10000
SELECT,chunk__LARGE_STRING,0.727,3851
COMPLEX_SELECT,chunk__LARGE_STRING,1.090,100
DELETE,chunk__LARGE_STRING,0.807,1000
COMPLEX_UPDATE,chunk__LARGE_STRING,1.023,100
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__LARGE_STRING,0.450,100
RANGE_TEST,chunk__LARGE_STRING,0.231,100
UPDATE,chunk__LARGE_STRING,0.798,2975
INSERT,chunk__LARGE_STRING,0.010,3004
COMPLEX_DELETE,chunk__LARGE_STRING,1.118,100
FREQUENCY_TEST,chunk__LARGE_STRING,0.002,10000
SELECT,chunk__LARGE_STRING,0.780,4021
COMPLEX_SELECT,chunk__LARGE_STRING,1.021,100
DELETE,chunk__LARGE_STRING,0.803,952
COMPLEX_UPDATE,chunk__LARGE_STRING,0.993,100
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.001,1000
UNKNOWN_CONDITION,chunk__LARGE_STRING,0.420,100
RANGE_TEST,chunk__LARGE_STRING,0.410,100
UPDATE,chunk__LARGE_STRING,0.745,3030
INSERT,chunk__LARGE_STRING,0.009,3013
COMPLEX_DELETE,chunk__LARGE_STRING,0.925,100
FREQUENCY_TEST,chunk__LARGE_STRING,0.002,10000
SELECT,chunk__LARGE_STRING,0.743,4005
COMPLEX_SELECT,chunk__SMALL_INTEGER,0.059,100
DELETE,chunk__SMALL_INTEGER,0.027,1025
COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.063,100
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.001,1000
RANGE_TEST,chunk__SMALL_INTEGER,0.121,100
UPDATE,chunk__SMALL_INTEGER,0.024,2983
INSERT,chunk__SMALL_INTEGER,0.002,3040
COMPLEX_DELETE,chunk__SMALL_INTEGER,0.058,100
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.002,10000
GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.029,100
SELECT,chunk__SMALL_INTEGER,0.025,3952
COMPLEX_SELECT,chunk__SMALL_INTEGER,0.044,100
DELETE,chunk__SMALL_INTEGER,0.027,1006
COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.033,100
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.001,1000
RANGE_TEST,chunk__SMALL_INTEGER,0.138,100
UPDATE,chunk__SMALL_INTEGER,0.028,2963
INSERT,chunk__SMALL_INTEGER,0.002,2966
COMPLEX_DELETE,chunk__SMALL_INTEGER,0.043,100
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.001,10000
GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.005,100
SELECT,chunk__SMALL_INTEGER,0.029,4065
COMPLEX_SELECT,chunk__SMALL_INTEGER,0.029,100
DELETE,chunk__SMALL_INTEGER,0.025,992
COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.046,100
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.001,1000
RANGE_TEST,chunk__SMALL_INTEGER,0.163,100
UPDATE,chunk__SMALL_INTEGER,0.027,2965
INSERT,chunk__SMALL_INTEGER,0.001,2956
COMPLEX_DELETE,chunk__SMALL_INTEGER,0.034,100
FREQUENCY_TEST,chunk__SMALL_INTEGER,0.002,10000
GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.005,100
SELECT,chunk__SMALL_INTEGER,0.029,4087
COMPLEX_SELECT,chunk__LARGE_INTEGER,0.054,100
DELETE,chunk__LARGE_INTEGER,0.038,1027
COMPLEX_UPDATE,chunk__LARGE_INTEGER,0.054,100
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.001,1000
RANGE_TEST,chunk__LARGE_INTEGER,0.159,100
UPDATE,chunk__LARGE_INTEGER,0.038,2982
INSERT,chunk__LARGE_INTEGER,0.002,3026
COMPLEX_DELETE,chunk__LARGE_INTEGER,0.059,100
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.003,10000
GREATER_THAN_CONDITION,chunk__LARGE_INTEGER,0.004,100
SELECT,chunk__LARGE_INTEGER,0.037,3965
COMPLEX_SELECT,chunk__LARGE_INTEGER,0.045,100
DELETE,chunk__LARGE_INTEGER,0.036,1033
COMPLEX_UPDATE,chunk__LARGE_INTEGER,0.064,100
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.001,1000
RANGE_TEST,chunk__LARGE_INTEGER,0.157,100
UPDATE,chunk__LARGE_INTEGER,0.036,2973
INSERT,chunk__LARGE_INTEGER,0.001,3016
COMPLEX_DELETE,chunk__LARGE_INTEGER,0.053,100
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.002,10000
GREATER_THAN_CONDITION,chunk__LARGE_INTEGER,0.003,100
SELECT,chunk__LARGE_INTEGER,0.039,3978
COMPLEX_SELECT,chunk__LARGE_INTEGER,0.030,100
