Condition,Implementation_DataType,Average_Time_ms,Sample_Count
RANGE_TEST,chunk__SMALL_STRING,0.213,100
RANGE_TEST,chunk__SMALL_STRING,0.249,100
RANGE_TEST,chunk__SMALL_STRING,0.386,100
RANGE_TEST,chunk__MEDIUM_STRING,0.422,100
RANGE_TEST,chunk__MEDIUM_STRING,0.415,100
RANGE_TEST,chunk__MEDIUM_STRING,0.237,100
RANGE_TEST,chunk__LARGE_STRING,0.347,100
RANGE_TEST,chunk__LARGE_STRING,0.888,100
RANGE_TEST,chunk__LARGE_STRING,0.649,100
RANGE_TEST,chunk__SMALL_INTEGER,0.138,100
RANGE_TEST,chunk__SMALL_INTEGER,0.165,100
RANGE_TEST,chunk__SMALL_INTEGER,0.130,100
RANGE_TEST,chunk__LARGE_INTEGER,0.131,100
RANGE_TEST,chunk__LARGE_INTEGER,0.124,100
RANGE_TEST,chunk__LARGE_INTEGER,0.148,100
RANGE_TEST,chunk__DECIMAL,0.269,100
RANGE_TEST,chunk__DECIMAL,0.262,100
RANGE_TEST,chunk__DECIMAL,0.248,100
RANGE_TEST,chunk__BOOLEAN,0.136,100
RANGE_TEST,chunk__BOOLEAN,0.171,100
RANGE_TEST,chunk__BOOLEAN,0.118,100
RANGE_TEST,chunk__DATE,0.126,100
RANGE_TEST,chunk__DATE,0.130,100
RANGE_TEST,chunk__DATE,0.130,100
RANGE_TEST,lfu__SMALL_STRING,0.249,100
RANGE_TEST,lfu__SMALL_STRING,0.128,100
RANGE_TEST,lfu__SMALL_STRING,0.123,100
RANGE_TEST,lfu__MEDIUM_STRING,0.199,100
RANGE_TEST,lfu__MEDIUM_STRING,0.143,100
RANGE_TEST,lfu__MEDIUM_STRING,0.238,100
RANGE_TEST,lfu__LARGE_STRING,0.329,100
RANGE_TEST,lfu__LARGE_STRING,0.396,100
RANGE_TEST,lfu__LARGE_STRING,0.375,100
RANGE_TEST,lfu__SMALL_INTEGER,0.155,100
RANGE_TEST,lfu__SMALL_INTEGER,0.272,100
RANGE_TEST,lfu__SMALL_INTEGER,0.120,100
RANGE_TEST,lfu__LARGE_INTEGER,0.138,100
RANGE_TEST,lfu__LARGE_INTEGER,0.145,100
RANGE_TEST,lfu__LARGE_INTEGER,0.167,100
RANGE_TEST,lfu__DECIMAL,0.209,100
RANGE_TEST,lfu__DECIMAL,0.464,100
RANGE_TEST,lfu__DECIMAL,0.232,100
RANGE_TEST,lfu__BOOLEAN,0.235,100
RANGE_TEST,lfu__BOOLEAN,0.176,100
RANGE_TEST,lfu__BOOLEAN,0.152,100
RANGE_TEST,lfu__DATE,0.177,100
RANGE_TEST,lfu__DATE,0.167,100
RANGE_TEST,lfu__DATE,0.217,100
RANGE_TEST,forest__SMALL_STRING,0.928,100
RANGE_TEST,forest__SMALL_STRING,0.431,100
RANGE_TEST,forest__SMALL_STRING,0.116,100
RANGE_TEST,forest__MEDIUM_STRING,0.207,100
RANGE_TEST,forest__MEDIUM_STRING,0.205,100
RANGE_TEST,forest__MEDIUM_STRING,0.125,100
RANGE_TEST,forest__LARGE_STRING,0.280,100
RANGE_TEST,forest__LARGE_STRING,0.272,100
RANGE_TEST,forest__LARGE_STRING,0.278,100
RANGE_TEST,forest__SMALL_INTEGER,0.275,100
RANGE_TEST,forest__SMALL_INTEGER,0.114,100
RANGE_TEST,forest__SMALL_INTEGER,0.141,100
RANGE_TEST,forest__LARGE_INTEGER,0.155,100
RANGE_TEST,forest__LARGE_INTEGER,0.206,100
RANGE_TEST,forest__LARGE_INTEGER,0.145,100
RANGE_TEST,forest__DECIMAL,0.188,100
RANGE_TEST,forest__DECIMAL,0.292,100
RANGE_TEST,forest__DECIMAL,0.191,100
RANGE_TEST,forest__BOOLEAN,0.114,100
RANGE_TEST,forest__BOOLEAN,0.281,100
RANGE_TEST,forest__BOOLEAN,0.119,100
RANGE_TEST,forest__DATE,0.136,100
RANGE_TEST,forest__DATE,0.270,100
RANGE_TEST,forest__DATE,0.098,100
