Condition,Implementation_DataType,Average_Time_ms,Sample_Count
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.017,1000
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.013,1000
SEQUENTIAL_TEST,chunk__SMALL_STRING,0.016,1000
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.024,1000
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.019,1000
SEQUENTIAL_TEST,chunk__MEDIUM_STRING,0.015,1000
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.016,1000
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.026,1000
SEQUENTIAL_TEST,chunk__LARGE_STRING,0.019,1000
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.009,1000
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.014,1000
SEQUENTIAL_TEST,chunk__SMALL_INTEGER,0.010,1000
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.012,1000
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.017,1000
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.010,1000
SEQUENTIAL_TEST,chunk__DECIMAL,0.066,1000
SEQUENTIAL_TEST,chunk__DECIMAL,0.010,1000
SEQUENTIAL_TEST,chunk__DECIMAL,0.012,1000
SEQUENTIAL_TEST,chunk__BOOLEAN,0.010,1000
SEQUENTIAL_TEST,chunk__BOOLEAN,0.010,1000
SEQUENTIAL_TEST,chunk__BOOLEAN,0.012,1000
SEQUENTIAL_TEST,chunk__DATE,0.012,1000
SEQUENTIAL_TEST,chunk__DATE,0.009,1000
SEQUENTIAL_TEST,chunk__DATE,0.009,1000
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.050,1000
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.032,1000
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.032,1000
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.040,1000
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.026,1000
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.056,1000
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.037,1000
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.039,1000
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.043,1000
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.048,1000
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.054,1000
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.042,1000
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.044,1000
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.048,1000
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.044,1000
SEQUENTIAL_TEST,lfu__DECIMAL,0.039,1000
SEQUENTIAL_TEST,lfu__DECIMAL,0.053,1000
SEQUENTIAL_TEST,lfu__DECIMAL,0.039,1000
SEQUENTIAL_TEST,lfu__BOOLEAN,0.048,1000
SEQUENTIAL_TEST,lfu__BOOLEAN,0.045,1000
SEQUENTIAL_TEST,lfu__BOOLEAN,0.036,1000
SEQUENTIAL_TEST,lfu__DATE,0.042,1000
SEQUENTIAL_TEST,lfu__DATE,0.037,1000
SEQUENTIAL_TEST,lfu__DATE,0.040,1000
SEQUENTIAL_TEST,forest__SMALL_STRING,0.007,1000
SEQUENTIAL_TEST,forest__SMALL_STRING,0.007,1000
SEQUENTIAL_TEST,forest__SMALL_STRING,0.002,1000
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.004,1000
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.002,1000
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.004,1000
SEQUENTIAL_TEST,forest__LARGE_STRING,0.003,1000
SEQUENTIAL_TEST,forest__LARGE_STRING,0.002,1000
SEQUENTIAL_TEST,forest__LARGE_STRING,0.003,1000
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.005,1000
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.003,1000
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.002,1000
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.002,1000
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.002,1000
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.005,1000
SEQUENTIAL_TEST,forest__DECIMAL,0.002,1000
SEQUENTIAL_TEST,forest__DECIMAL,0.003,1000
SEQUENTIAL_TEST,forest__DECIMAL,0.004,1000
SEQUENTIAL_TEST,forest__BOOLEAN,0.002,1000
SEQUENTIAL_TEST,forest__BOOLEAN,0.005,1000
SEQUENTIAL_TEST,forest__BOOLEAN,0.003,1000
SEQUENTIAL_TEST,forest__DATE,0.002,1000
SEQUENTIAL_TEST,forest__DATE,0.003,1000
SEQUENTIAL_TEST,forest__DATE,0.004,1000
