Implementation,Metric,Mean,Min,Max,Std
backwards,BOOLEAN_CONDITION,0.001,0.001,0.001,0.0
backwards,COMPLEX_DELETE,0.705,0.001,1.864,0.78
backwards,COMPLEX_SELECT,0.759,0.001,2.045,0.85
backwards,COMPLEX_UPDATE,0.781,0.004,2.194,0.893
backwards,DATE_CONDITION,0.062,0.02,0.138,0.066
backwards,DELETE,0.527,0.014,1.422,0.602
backwards,GREATER_THAN_CONDITION,0.328,0.153,0.529,0.169
backwards,INSERT,0.005,0.002,0.013,0.003
backwards,SELECT,0.548,0.011,1.415,0.624
backwards,UNKNOWN_CONDITION,0.522,0.352,0.779,0.138
backwards,UPDATE,0.548,0.013,1.42,0.628
chunk,BOOLEAN_CONDITION,0.001,0.001,0.001,0.0
chunk,COMPLEX_DELETE,0.735,0.002,2.201,0.863
chunk,COMPLEX_SELECT,0.797,0.001,2.574,0.95
chunk,COMPLEX_UPDATE,0.801,0.004,2.404,0.939
chunk,DATE_CONDITION,0.067,0.044,0.097,0.027
chunk,DELETE,0.528,0.016,1.417,0.599
chunk,GREATER_THAN_CONDITION,0.354,0.161,0.69,0.213
chunk,INSERT,0.006,0.002,0.016,0.004
chunk,SELECT,0.534,0.014,1.379,0.609
chunk,UNKNOWN_CONDITION,0.5,0.398,0.674,0.087
chunk,UPDATE,0.538,0.017,1.406,0.611
forest,BOOLEAN_CONDITION,0.003,0.003,0.003,0.0
forest,COMPLEX_DELETE,0.049,0.003,0.257,0.082
forest,COMPLEX_SELECT,0.051,0.002,0.288,0.086
forest,COMPLEX_UPDATE,0.058,0.005,0.418,0.1
forest,DATE_CONDITION,0.003,0.003,0.003,0.0
forest,DELETE,0.046,0.004,0.215,0.064
forest,GREATER_THAN_CONDITION,1.1,0.582,1.957,0.548
forest,INSERT,0.005,0.002,0.013,0.003
forest,SELECT,0.044,0.002,0.206,0.064
forest,UNKNOWN_CONDITION,0.632,0.423,0.943,0.134
forest,UPDATE,0.055,0.005,0.319,0.076
random,BOOLEAN_CONDITION,0.001,0.001,0.002,0.001
random,COMPLEX_DELETE,0.705,0.002,2.142,0.839
random,COMPLEX_SELECT,0.733,0.002,2.167,0.872
random,COMPLEX_UPDATE,0.737,0.004,2.198,0.881
random,DATE_CONDITION,0.052,0.012,0.121,0.06
random,DELETE,0.516,0.013,1.384,0.6
random,GREATER_THAN_CONDITION,0.312,0.147,0.475,0.169
random,INSERT,0.006,0.002,0.016,0.004
random,SELECT,0.533,0.013,1.378,0.621
random,UNKNOWN_CONDITION,0.496,0.375,0.675,0.098
random,UPDATE,0.531,0.017,1.367,0.616
