Category,Metric,Best_Implementation,Average_Time_ms,Sample_Count
Operation,COMPLEX_SELECT,chunk__SMALL_STRING,4.575,100
Operation,DELETE,chunk__SMALL_STRING,3.067,957
Operation,COMPLEX_UPDATE,chunk__SMALL_STRING,4.154,100
Operation,UNKNOWN_CONDITION,chunk__SMALL_STRING,0.880,100
Operation,UPDATE,chunk__SMALL_STRING,2.764,3015
Operation,INSERT,chunk__SMALL_STRING,0.028,3047
Operation,COMPLEX_DELETE,chunk__SMALL_STRING,4.444,100
Operation,SELECT,chunk__SMALL_STRING,2.885,3981
Operation,COMPLEX_SELECT,chunk__SMALL_STRING,5.152,100
Operation,DELETE,chunk__SMALL_STRING,3.707,967
Operation,COMPLEX_UPDATE,chunk__SMALL_STRING,5.719,100
Operation,UNKNOWN_CONDITION,chunk__SMALL_STRING,0.617,100
Operation,UPDATE,chunk__SMALL_STRING,3.755,2964
Operation,INSERT,chunk__SMALL_STRING,0.027,3147
Operation,COMPLEX_DELETE,chunk__SMALL_STRING,4.864,100
Operation,SELECT,chunk__SMALL_STRING,3.577,3922
Operation,COMPLEX_SELECT,chunk__SMALL_STRING,3.885,100
Operation,DELETE,chunk__SMALL_STRING,3.011,985
Operation,COMPLEX_UPDATE,chunk__SMALL_STRING,5.592,100
Operation,UNKNOWN_CONDITION,chunk__SMALL_STRING,0.692,100
Operation,UPDATE,chunk__SMALL_STRING,3.018,3053
Operation,INSERT,chunk__SMALL_STRING,0.024,2943
Operation,COMPLEX_DELETE,chunk__SMALL_STRING,3.426,100
Operation,SELECT,chunk__SMALL_STRING,2.928,4019
Memory,Peak_MB,chunk__SMALL_STRING,8.00,3
Memory,Average_MB,chunk__SMALL_STRING,6.67,3
Operation,COMPLEX_SELECT,chunk__MEDIUM_STRING,6.197,100
Operation,DELETE,chunk__MEDIUM_STRING,3.627,989
Operation,COMPLEX_UPDATE,chunk__MEDIUM_STRING,4.195,100
Operation,UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.939,100
Operation,UPDATE,chunk__MEDIUM_STRING,3.504,3051
Operation,INSERT,chunk__MEDIUM_STRING,0.031,3048
Operation,COMPLEX_DELETE,chunk__MEDIUM_STRING,5.021,100
Operation,SELECT,chunk__MEDIUM_STRING,3.391,3912
Operation,COMPLEX_SELECT,chunk__MEDIUM_STRING,3.885,100
Operation,DELETE,chunk__MEDIUM_STRING,3.195,1018
Operation,COMPLEX_UPDATE,chunk__MEDIUM_STRING,4.419,100
Operation,UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.865,100
Operation,UPDATE,chunk__MEDIUM_STRING,3.200,2965
Operation,INSERT,chunk__MEDIUM_STRING,0.031,2985
Operation,COMPLEX_DELETE,chunk__MEDIUM_STRING,4.449,100
Operation,SELECT,chunk__MEDIUM_STRING,3.187,4032
Operation,COMPLEX_SELECT,chunk__MEDIUM_STRING,4.193,100
Operation,DELETE,chunk__MEDIUM_STRING,3.155,999
Operation,COMPLEX_UPDATE,chunk__MEDIUM_STRING,4.023,100
Operation,UNKNOWN_CONDITION,chunk__MEDIUM_STRING,0.743,100
Operation,UPDATE,chunk__MEDIUM_STRING,3.248,3005
Operation,INSERT,chunk__MEDIUM_STRING,0.028,3039
Operation,COMPLEX_DELETE,chunk__MEDIUM_STRING,5.835,100
Operation,SELECT,chunk__MEDIUM_STRING,3.197,3957
Memory,Peak_MB,chunk__MEDIUM_STRING,6.00,3
Memory,Average_MB,chunk__MEDIUM_STRING,6.00,3
Operation,COMPLEX_SELECT,chunk__LARGE_STRING,4.247,100
Operation,DELETE,chunk__LARGE_STRING,3.383,1006
Operation,COMPLEX_UPDATE,chunk__LARGE_STRING,5.745,100
Operation,UNKNOWN_CONDITION,chunk__LARGE_STRING,1.301,100
Operation,UPDATE,chunk__LARGE_STRING,3.433,2991
Operation,INSERT,chunk__LARGE_STRING,0.041,3040
Operation,COMPLEX_DELETE,chunk__LARGE_STRING,4.625,100
Operation,SELECT,chunk__LARGE_STRING,3.276,3963
Operation,COMPLEX_SELECT,chunk__LARGE_STRING,7.029,100
Operation,DELETE,chunk__LARGE_STRING,2.883,966
Operation,COMPLEX_UPDATE,chunk__LARGE_STRING,5.373,100
Operation,UNKNOWN_CONDITION,chunk__LARGE_STRING,1.497,100
Operation,UPDATE,chunk__LARGE_STRING,3.115,3088
Operation,INSERT,chunk__LARGE_STRING,0.039,2991
Operation,COMPLEX_DELETE,chunk__LARGE_STRING,4.149,100
Operation,SELECT,chunk__LARGE_STRING,3.082,3955
Operation,COMPLEX_SELECT,chunk__LARGE_STRING,5.547,100
Operation,DELETE,chunk__LARGE_STRING,3.471,947
Operation,COMPLEX_UPDATE,chunk__LARGE_STRING,5.288,100
Operation,UNKNOWN_CONDITION,chunk__LARGE_STRING,1.244,100
Operation,UPDATE,chunk__LARGE_STRING,3.487,2954
Operation,INSERT,chunk__LARGE_STRING,0.040,3045
Operation,COMPLEX_DELETE,chunk__LARGE_STRING,4.888,100
Operation,SELECT,chunk__LARGE_STRING,3.379,4054
Memory,Peak_MB,chunk__LARGE_STRING,12.00,3
Memory,Average_MB,chunk__LARGE_STRING,12.00,3
Operation,COMPLEX_SELECT,chunk__SMALL_INTEGER,0.190,100
Operation,DELETE,chunk__SMALL_INTEGER,0.143,996
Operation,COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.180,100
Operation,UPDATE,chunk__SMALL_INTEGER,0.123,2962
Operation,INSERT,chunk__SMALL_INTEGER,0.007,3007
Operation,COMPLEX_DELETE,chunk__SMALL_INTEGER,0.182,100
Operation,GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.059,100
Operation,SELECT,chunk__SMALL_INTEGER,0.115,4035
Operation,COMPLEX_SELECT,chunk__SMALL_INTEGER,0.182,100
Operation,DELETE,chunk__SMALL_INTEGER,0.128,1016
Operation,COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.177,100
Operation,UPDATE,chunk__SMALL_INTEGER,0.128,2960
Operation,INSERT,chunk__SMALL_INTEGER,0.007,2969
Operation,COMPLEX_DELETE,chunk__SMALL_INTEGER,0.170,100
Operation,GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.017,100
Operation,SELECT,chunk__SMALL_INTEGER,0.131,4055
Operation,COMPLEX_SELECT,chunk__SMALL_INTEGER,0.203,100
Operation,DELETE,chunk__SMALL_INTEGER,0.178,1027
Operation,COMPLEX_UPDATE,chunk__SMALL_INTEGER,0.191,100
Operation,UPDATE,chunk__SMALL_INTEGER,0.159,2875
Operation,INSERT,chunk__SMALL_INTEGER,0.009,3063
Operation,COMPLEX_DELETE,chunk__SMALL_INTEGER,0.185,100
Operation,GREATER_THAN_CONDITION,chunk__SMALL_INTEGER,0.012,100
Operation,SELECT,chunk__SMALL_INTEGER,0.173,4035
Memory,Peak_MB,chunk__SMALL_INTEGER,4.00,3
Memory,Average_MB,chunk__SMALL_INTEGER,4.00,3
Operation,COMPLEX_SELECT,chunk__LARGE_INTEGER,0.187,100
Operation,DELETE,chunk__LARGE_INTEGER,0.129,992
Operation,COMPLEX_UPDATE,chunk__LARGE_INTEGER,0.166,100
Operation,UPDATE,chunk__LARGE_INTEGER,0.122,2967
Operation,INSERT,chunk__LARGE_INTEGER,0.006,3028
Operation,COMPLEX_DELETE,chunk__LARGE_INTEGER,0.186,100
Operation,GREATER_THAN_CONDITION,chunk__LARGE_INTEGER,0.011,100
Operation,SELECT,chunk__LARGE_INTEGER,0.130,4013
Operation,COMPLEX_SELECT,chunk__LARGE_INTEGER,0.223,100
Operation,DELETE,chunk__LARGE_INTEGER,0.128,1011
